,categorical_accuracy,loss
ch1,0.37216026584307355,1.5627726713816326
ch2,0.37092111508051556,1.5136041641235352
ch3,0.3932259480158488,1.4726924101511638
ch4,0.3345724840958913,1.6200859149297078
ch5,0.3382899562517802,1.605532209078471
ch6,0.476662536462148,1.3177202145258586
ch7,0.3845518430074056,1.4889394044876099
