Sujeto,Id,Tipo de señales,Exactitud,Forward,Backward,Left,Right,Up,Down,Rest,loss,accuracy,categorical_accuracy,categorical_crossentropy
2,000,EMG,26.28135085105896,0.0,0.0,0.8421052631578947,0.18635170603674542,0.0,0.2673469387755102,1.0,2.105313777923584,0.2628135085105896,0.2628135085105896,2.105313777923584
2,000,EEG,22.57360965013504,0.20819112627986347,0.13793103448275862,0.0,0.17365269461077845,0.0,0.18469656992084432,0.8775510204081632,2.017796516418457,0.2257360965013504,0.2257360965013504,2.017796516418457
2,000,Combinación,30.75245365321701,0.0,0.0,0.6190476190476191,0.2132132132132132,0.0,0.2916666666666667,0.4852941176470588
7,000,EMG,45.93596160411835,0.2857142857142857,0.42948717948717946,1.0,0.29333333333333333,0.3287671232876712,0.44041450777202074,0.7160493827160493,1.2887163162231445,0.45935961604118347,0.45935961604118347,1.2887163162231445
7,000,EEG,20.135468244552612,0.16612903225806452,0.125,0.14285714285714285,0.0,0.2887323943661972,0.15517241379310345,0.5714285714285714,2.0300490856170654,0.20135468244552612,0.20135468244552612,2.0300490856170654
7,000,Combinación,42.73399014778325,0.2878787878787879,0.5083798882681564,1.0,0.6111111111111112,0.5,0.32450331125827814,0.6480446927374302
11,000,EMG,47.783252596855164,0.4260355029585799,0.32571428571428573,1.0,0.6956521739130435,0.25,0.6956521739130435,0.5667752442996743,1.313805341720581,0.47783252596855164,0.47783252596855164,1.313805341720581
11,000,EEG,19.211822748184204,0.15384615384615385,0.23931623931623933,0.2894736842105263,0.29411764705882354,0.09375,0.13372093023255813,0.3446808510638298,1.941731333732605,0.19211822748184204,0.19211822748184204,1.941731333732605
11,000,Combinación,46.05911330049261,0.35359116022099446,0.3937007874015748,0.9056603773584906,0.8181818181818182,0.2857142857142857,0.49523809523809526,0.4379746835443038
13,000,EMG,48.21428656578064,0.2578616352201258,0.6064690026954178,0.7833333333333333,0.23170731707317074,0.53125,0.3373493975903614,0.7875,1.2952154874801636,0.4821428656578064,0.4821428656578064,1.2952154874801636
13,000,EEG,15.455664694309235,0.14496644295302014,0.20689655172413793,0.0,0.0,0.0,0.0,1.0,1.96384596824646,0.15455664694309235,0.15455664694309235,1.96384596824646
13,000,Combinación,49.56896551724138,0.25463743676222594,0.576530612244898,0.729957805907173,0.0,0.6428571428571429,0.3372093023255814,0.7247386759581882
21,000,EMG,35.098522901535034,0.0,0.4218009478672986,0.8,0.14,0.39805825242718446,0.20151133501259447,0.5201793721973094,1.6184322834014893,0.35098522901535034,0.35098522901535034,1.6184322834014893
21,000,EEG,25.615763664245605,0.21978021978021978,0.6,0.038461538461538464,0.18993135011441648,0.3178294573643411,0.0625,0.8407079646017699,1.8755055665969849,0.25615763664245605,0.25615763664245605,1.8755055665969849
21,000,Combinación,35.221674876847295,0.0,0.43956043956043955,0.5128205128205128,0.0,0.2204724409448819,0.0,0.42568807339449544
25,000,EMG,37.5,0.25,0.3032069970845481,0.38198757763975155,0.42857142857142855,0.2222222222222222,0.8947368421052632,0.47540983606557374,1.6974453926086426,0.375,0.375,1.6974453926086426
25,000,EEG,23.522166907787323,0.1799163179916318,0.20481927710843373,0.21348314606741572,0.12666666666666668,0.03614457831325301,0.13953488372093023,0.5970149253731343,1.7771110534667969,0.23522166907787323,0.23522166907787323,1.7771110534667969
25,000,Combinación,34.42118226600985,0.24358974358974358,0.34177215189873417,0.4263565891472868,0.0,0.325,0.7666666666666667,0.3118279569892473
2,001,EMG,41.548529267311096,0.0,0.0,1.0,0.2075812274368231,0.0,0.5789473684210527,0.8897058823529411,1.471114158630371,0.41548529267311096,0.41548529267311096,1.471114158630371
2,001,EEG,20.06543129682541,0.1930232558139535,0.0,0.17647058823529413,0.11510791366906475,0.0,0.183206106870229,0.8157894736842105,1.932942509651184,0.2006543129682541,0.2006543129682541,1.932942509651184
2,001,Combinación,44.165757906215916,0.0,0.0,0.8205128205128205,0.22807017543859648,0.0,0.5238095238095238,0.7341040462427746
7,001,EMG,52.770936489105225,0.49295774647887325,0.40755467196819084,0.9696969696969697,0.41509433962264153,0.7027027027027027,0.4143646408839779,0.6462395543175488,1.2418982982635498,0.5277093648910522,0.5277093648910522,1.2418982982635498
7,001,EEG,19.150246679782867,0.16009852216748768,0.20833333333333334,0.2,0.13333333333333333,0.2796610169491525,0.20134228187919462,0.4888888888888889,1.9618984460830688,0.19150246679782867,0.19150246679782867,1.9618984460830688
7,001,Combinación,50.43103448275862,0.4246575342465753,0.4788273615635179,0.8984375,0.4074074074074074,0.7123287671232876,0.4012345679012346,0.5021645021645021
11,001,EMG,53.366172313690186,0.4732824427480916,0.46756756756756757,0.8246753246753247,0.7115384615384616,0.3586206896551724,0.38095238095238093,0.6091954022988506,1.1306822299957275,0.5336617231369019,0.5336617231369019,1.1306822299957275
11,001,EEG,20.27914673089981,0.0759493670886076,0.2828282828282828,0.18095238095238095,0.21052631578947367,0.22018348623853212,0.136986301369863,0.38565022421524664,1.8962352275848389,0.2027914673089981,0.2027914673089981,1.8962352275848389
11,001,Combinación,51.06732348111659,0.5789473684210527,0.46831955922865015,0.6836734693877551,0.782608695652174,0.4312796208530806,0.4067796610169492,0.5014409221902018
13,001,EMG,52.216750383377075,0.2737030411449016,0.6718266253869969,0.7795698924731183,0.3783783783783784,0.9230769230769231,0.3675675675675676,0.7790697674418605,1.2897535562515259,0.5221675038337708,0.5221675038337708,1.2897535562515259
13,001,EEG,15.825122594833374,0.0,0.10553633217993079,0.17391304347826086,0.0,0.0,0.0,0.6060606060606061,1.9458942413330078,0.15825122594833374,0.15825122594833374,1.9458942413330078
13,001,Combinación,54.371921182266014,0.3119533527696793,0.67601246105919,0.6892430278884463,0.6428571428571429,0.81,0.3132075471698113,0.6454545454545455
21,001,EMG,40.455666184425354,0.2871287128712871,0.5611510791366906,0.6739130434782609,0.21243523316062177,0.26804123711340205,0.2490272373540856,0.6426592797783933,1.499556541442871,0.40455666184425354,0.40455666184425354,1.499556541442871
21,001,EEG,27.52462923526764,0.34328358208955223,0.10526315789473684,0.0,0.1928746928746929,0.3381818181818182,0.14785992217898833,0.73224043715847,1.791408896446228,0.2752462923526764,0.2752462923526764,1.791408896446228
21,001,Combinación,36.94581280788177,0.0,0.5366666666666666,0.2717948717948718,0.0,0.21287128712871287,0.29411764705882354,0.44787644787644787
25,001,EMG,39.10098373889923,0.375,0.2655086848635236,0.5210526315789473,0.8,0.20967741935483872,0.8571428571428571,0.5536992840095465,1.5343663692474365,0.3910098373889923,0.3910098373889923,1.5343663692474365
25,001,EEG,28.94088625907898,0.260752688172043,0.19428571428571428,0.26258992805755393,0.22279792746113988,0.03571428571428571,0.136986301369863,0.5393939393939394,1.7463570833206177,0.2894088625907898,0.2894088625907898,1.7463570833206177
25,001,Combinación,36.02216748768473,0.4142857142857143,0.27313432835820894,0.6311475409836066,0.0,0.3125,0.8309859154929577,0.3447251114413076
2,002,EMG,39.2584502696991,0.8,1.0,1.0,0.20077220077220076,0.0,0.4801587301587302,0.9130434782608695,1.4372411966323853,0.39258450269699097,0.39258450269699097,1.4372411966323853
2,002,EEG,21.046891808509827,0.17077175697865354,0.0,0.1,0.13333333333333333,0.08333333333333333,0.19337016574585636,0.8166666666666667,1.9687681198120117,0.21046891808509827,0.21046891808509827,1.9687681198120117
2,002,Combinación,43.51145038167939,0.3333333333333333,1.0,0.9318181818181818,0.25102880658436216,1.0,0.42857142857142855,0.6918238993710691
7,002,EMG,52.70935893058777,0.45454545454545453,0.42973523421588594,0.9626168224299065,0.25,0.6176470588235294,0.3783783783783784,0.596401028277635,1.2583469152450562,0.5270935893058777,0.5270935893058777,1.2583469152450562
7,002,EEG,19.889162480831146,0.16680361544782252,0.19047619047619047,0.13333333333333333,0.0,0.3614457831325301,0.19806763285024154,0.5512820512820513,1.9576085805892944,0.19889162480831146,0.19889162480831146,1.9576085805892944
7,002,Combinación,50.55418719211823,0.3887733887733888,0.5701357466063348,0.8382352941176471,0.5,0.6824324324324325,0.28846153846153844,0.5420560747663551
11,002,EMG,52.3809552192688,0.3250883392226148,0.5418060200668896,0.7236180904522613,0.5172413793103449,0.52,0.4810126582278481,0.5723684210526315,1.1143323183059692,0.523809552192688,0.523809552192688,1.1143323183059692
11,002,EEG,21.510672569274902,0.0967741935483871,0.26865671641791045,0.09090909090909091,0.18823529411764706,0.1724137931034483,0.16034985422740525,0.37142857142857144,1.8891454935073853,0.21510672569274902,0.21510672569274902,1.8891454935073853
