Id,Tipo,Mediana,Promedio,Desviación típica,Kernel,CI,Ventana,Prueba
0,EEG,21.354538947343826,21.085749318202335,1.4695053225999801,"(3,3)",No,300ms,Kernel
1,EEG,20.17228901386261,21.964243799448013,2.0947860368812465,"(5,1)",No,300ms,Kernel
2,EEG,21.278782188892365,21.122073878844578,1.464022255784967,"(5,3)",No,300ms,Kernel
8,EEG,21.877311170101166,20.941862215598423,1.5948896196966618,"(5,1)",10,300ms,CI
9,EEG,21.264368295669556,20.994899918635685,2.2260506399619286,"(5,1)",16,300ms,CI
10,EEG,19.603373110294342,19.10629669825236,1.383183917258651,"(5,1)",20,300ms,CI
11,EEG,23.055726289749146,22.077688574790955,1.8879836196742248,"(5,1)",No,260ms,Ventana
1,EEG,20.17228901386261,21.964243799448013,2.0947860368812465,"(5,1)",No,300ms,Ventana
12,EEG,18.6781607568264,18.95867536465327,1.9649170030405738,"(5,1)",No,500ms,Ventana
0,EMG,41.717980802059174,40.13556241989136,3.5667665755657034,"(3,3)",No,300ms,Kernel
1,EMG,46.882639825344086,46.5765063961347,2.7982825541656164,"(5,1)",No,300ms,Kernel
2,EMG,43.85952055454254,43.32126329342524,3.6685158850067294,"(5,3)",No,300ms,Kernel
3,EMG,33.651477098464966,32.13342999418577,3.757192240437133,"(5,1)",4,300ms,CI
4,EMG,29.710590839385986,28.48930060863495,2.9432458786761684,"(5,1)",5,300ms,CI
5,EMG,21.10361084342003,26.472139606873196,6.245931304335929,"(5,1)",6,300ms,CI
6,EMG,43.66995096206665,42.77760684490204,3.4222693957687897,"(5,1)",No,260ms,Ventana
1,EMG,46.882639825344086,46.5765063961347,2.7982825541656164,"(5,1)",No,300ms,Ventana
7,EMG,48.9532008767128,47.98850566148758,3.271081478501262,"(5,1)",No,500ms,Ventana
